depth_ft,weight_on_bit_klb,torque_ftlb,rpm,anhydrite_pct,calcite_pct,chlorite_pct,epidote_pct,hematite_pct,quartz_pct,h2s_shakers_ppm,h2s_rig_floor_ppm,h2s_pits_ppm,hardness_index,soft_to_hard_ratio,chlorite_likely_imputed,high_wob,high_rpm,high_torque,aggressive_drilling,mse_simplified,quartz_x_wob,rpm_x_torque,hardness_x_wob,rop_ft_hr,rop_transformed
4120.0,62.94,16.219,98.35,10.0,0.0,5.0,0.0,0.0,10.0,10.0,0.0,0.0,1.175,1.4985014985014986,0,0,1,0,0,62.95182723103729,629.4,1595.13865,73.9545,134.86,9.676983842833106
5551.0,65.59,11.4322,84.53,0.0,5.0,2.0,0.0,0.0,70.0,0.0,0.0,50.0,5.1,0.0999857163262391,1,1,0,0,0,65.60203591812181,4591.3,966.363866,334.509,80.28,8.02546540194159
5764.0,64.84,11.5502,75.55,0.0,10.0,2.0,0.0,0.0,50.0,0.0,0.0,20.0,3.85,0.2399520095980803,1,1,0,0,0,64.8549241937746,3242.0,872.61761,249.634,58.46,7.119818864602473
4692.0,84.45,13.8441,99.15,0.0,20.0,5.0,5.0,20.0,30.0,0.0,0.0,100.0,4.25,0.4544628249409198,0,1,1,0,0,84.47236302565983,2533.5,1372.642515,358.9125,61.37,7.253694062172951
1818.0,11.43,11.3437,97.14,0.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,0.75,0.1998001998001998,1,0,0,0,0,11.431579801032242,114.3,1101.927018,8.5725,697.5,16.613492063641853
5053.0,50.05,6.3135,50.04,0.0,0.0,2.0,0.0,0.0,50.0,0.0,0.0,100.0,3.55,0.03999200159968,1,0,0,0,0,50.0520427230053,2502.5,315.92754,177.67749999999998,154.65,10.150939399478629
427.0,8.46,1.3497,31.21,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.4,0.3992015968063872,1,0,0,0,0,8.460109438925983,42.3,42.124137,3.3840000000000003,384.9,13.765632137667938
6028.0,55.06,11.1446,61.71,0.0,2.0,2.0,0.0,0.0,60.0,0.0,0.0,100.0,4.31,0.0666555574070988,1,0,0,0,0,55.06359787217369,3303.6000000000004,687.7332660000001,237.3086,191.14,10.917655585895332
6185.0,59.75,10.6504,59.75,0.0,5.0,2.0,2.0,2.0,50.0,0.0,0.0,100.0,3.94,0.1296056285872986,1,0,0,0,0,59.76089846549067,2987.5,636.3614,235.415,58.38,7.116069748497813
2740.0,53.52,15.1274,98.23,5.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.575,1.3972055888223551,1,0,1,0,0,53.53197007009828,267.6,1485.964502,30.774,124.13,9.397985729808116
9045.0,55.72,17.9523,67.07,0.0,0.0,2.0,0.0,0.0,60.0,0.0,100.0,0.0,4.25,0.0333277787035494,1,0,0,1,0,55.727460103847584,3343.2,1204.060761,236.81,161.39,10.302021334358336
9353.0,71.04,22.149,60.76,0.0,0.0,2.0,0.0,0.0,70.0,0.0,0.0,100.0,4.95,0.0285673475217826,1,1,0,1,0,71.04524708842796,4972.8,1345.77324,351.648,256.47,12.052631456644644
8478.0,70.1,18.2326,71.02,0.0,0.0,2.0,0.0,0.0,75.0,0.0,0.0,0.0,5.3,0.0266631115851219,1,1,0,1,0,70.10721823542004,5257.5,1294.879252,371.53,179.38,10.683469592248898
6157.0,60.35,10.6283,59.84,0.0,5.0,2.0,0.0,2.0,60.0,0.0,0.0,100.0,4.51,0.1128850185453959,1,0,0,0,0,60.359178777197286,3621.0,635.997472,272.1785,69.28,7.595342461415525
6286.0,60.03,10.3923,60.0,0.0,5.0,2.0,0.0,2.0,50.0,0.0,0.0,100.0,3.81,0.1345895020188425,1,0,0,0,0,60.04090673430121,3001.5,623.538,228.7143,57.16,7.05842122877288
9050.0,54.72,17.2442,67.51,0.0,0.0,2.0,0.0,0.0,60.0,0.0,100.0,0.0,4.25,0.0333277787035494,1,0,0,1,0,54.72689624987856,3283.2,1164.155942,232.56,168.8,10.462793392668269
1316.0,13.17,8.6295,49.39,0.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,0.75,0.1998001998001998,1,0,0,0,0,13.173183530064236,131.7,426.211005,9.8775,133.87,9.651948432632576
4556.0,75.44,13.7924,99.12,0.0,0.0,5.0,5.0,20.0,20.0,0.0,0.0,100.0,2.95,0.1110864252388358,0,1,1,0,0,75.4572701198585,1508.8,1367.1026880000002,222.548,79.15,7.983368284544464
9671.0,37.9,16.4624,58.18,0.0,0.0,2.0,0.0,0.0,40.0,0.0,0.0,0.0,2.85,0.0499875031242189,1,0,0,0,0,37.92686626737728,1516.0,957.782432,108.015,35.64,5.8499957701528364
2234.0,26.35,15.179,98.9,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.4,0.3992015968063872,1,0,1,0,0,26.360231057725077,131.75,1501.2031000000002,10.54,146.72,9.966771050479302
9631.0,71.59,4.3737,30.39,0.0,0.0,2.0,0.0,0.0,60.0,0.0,0.0,100.0,4.25,0.0333277787035494,1,1,0,0,0,71.59050544451078,4295.400000000001,132.91674300000005,304.2575,262.96,12.153067514520414
