depth_ft,weight_on_bit_klb,torque_ftlb,rpm,anhydrite_pct,calcite_pct,chlorite_pct,epidote_pct,hematite_pct,quartz_pct,h2s_shakers_ppm,h2s_rig_floor_ppm,h2s_pits_ppm,hardness_index,soft_to_hard_ratio,chlorite_likely_imputed,rop_per_wob,rop_per_rpm,rop_per_torque,high_wob,high_rpm,high_torque,aggressive_drilling,mse_simplified,quartz_x_wob,rpm_x_torque,hardness_x_wob,depth_bin,rop_ft_hr
3145.0,65.3,10.5029,98.03,0.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,0.75,0.1998001998001998,1,1.191241770019905,0.7935536515707874,7.400431850393326,1,1,0,0,65.31323222319753,653.0,1029.599287,48.974999999999994,6.0,77.8
2975.0,62.92,17.023,99.08,0.0,0.0,2.0,0.0,0.0,5.0,40.0,0.0,0.0,0.4,0.3992015968063872,1,4.844430319402511,3.076597033000303,17.89819761639171,0,1,1,0,62.925532321448486,314.6,1686.6388399999998,25.168000000000003,5.0,304.86
9470.0,69.93,2.6774,28.08,0.0,0.0,2.0,0.0,0.0,70.0,0.0,0.0,100.0,4.95,0.0285673475217826,1,0.8245639119245066,2.0530437878248486,21.459403140581976,1,0,0,0,69.9313034221914,4895.1,75.181392,346.15350000000007,18.0,57.67
2222.0,23.98,15.0905,99.06,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.4,0.3992015968063872,1,27.132138390996246,6.570101948117492,43.10453296248468,0,1,0,0,23.982296576992212,119.9,1494.8649300000002,9.592,4.0,650.9
10454.0,18.12,17.2664,41.07,0.0,0.0,10.0,10.0,5.0,40.0,0.0,0.0,0.0,3.975,0.18178512997636795,0,0.052399338113623815,0.023125608568646542,0.054988307749299616,0,0,1,0,18.858678175,724.8000000000001,709.1310480000001,72.027,20.0,0.95
8386.0,70.38,18.3506,70.66,0.0,0.0,2.0,0.0,0.0,60.0,0.0,0.0,0.0,4.25,0.03332777870354941,1,2.5625799119193067,2.55242677232206,9.824297680903673,1,0,1,0,70.38718805585675,4222.799999999999,1296.653396,299.115,16.0,180.38
10508.0,28.82,19.8847,61.47,0.0,0.0,10.0,10.0,0.0,40.0,20.0,0.0,0.0,3.7,0.19996000799840033,0,6.887270204647936,3.229668184775537,9.980547583024624,0,0,1,0,28.826155574905574,1152.8,1222.3125089999999,106.634,20.0,198.56
4547.0,65.26,13.2761,99.06,0.0,0.0,5.0,5.0,30.0,30.0,0.0,40.0,60.0,4.2,0.07691124442393478,0,0.9883560594453806,0.6511557484606844,4.855450433159468,1,1,0,0,65.28038329922505,1957.8000000000002,1315.130466,274.09200000000004,8.0,64.51
2147.0,16.48,12.9,98.06,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.4,0.3992015968063872,1,46.574893875075794,7.831344957683287,59.490317583268784,0,1,0,0,16.48164703722511,82.4,1264.9740000000002,6.5920000000000005,4.0,768.02
7001.0,60.07,18.0777,61.68,0.0,5.0,2.0,0.0,0.0,50.0,0.0,0.0,10.0,3.7,0.13997200559888023,1,1.0612516644474035,1.0335548711298428,3.52504740790703,0,0,1,0,60.087485220887565,3003.5,1115.032536,222.25900000000001,13.0,63.76
